                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.45621,                0.50018,                 0.8538,                0.88598,                 0.8912,                0.94386,                0.87999,                 0.3786,                0.49658,                0.82558,              0.0011059,              0.0011059,              0.0011059
                     37,                0.44397,                0.45877,                0.85052,                0.91033,                0.89401,                0.95363,                0.88666,                0.38457,                0.47603,                0.84476,              0.0010894,              0.0010894,              0.0010894
                     38,                0.46342,                 0.4594,                0.85734,                0.85796,                0.90134,                0.92744,                0.85951,                0.40178,                0.50304,                0.83003,              0.0010729,              0.0010729,              0.0010729
                     39,                0.44425,                0.44823,                 0.8501,                0.88062,                0.85734,                0.92341,                0.85857,                0.40299,                0.50733,                0.83301,              0.0010564,              0.0010564,              0.0010564
                     40,                0.43341,                0.43727,                0.84471,                0.80856,                0.88878,                0.93908,                 0.8797,                0.38613,                0.52206,                0.83068,              0.0010399,              0.0010399,              0.0010399
                     41,                0.43223,                 0.4244,                0.84848,                0.88367,                0.90614,                0.94751,                0.88278,                0.38368,                0.47055,                0.83539,              0.0010234,              0.0010234,              0.0010234
                     42,                0.45436,                0.43345,                0.85467,                0.87244,                0.91439,                0.94464,                0.87087,                0.38678,                0.47612,                0.82808,              0.0010069,              0.0010069,              0.0010069
                     43,                 0.4607,                0.43747,                0.84556,                0.85935,                0.90547,                0.93808,                0.86713,                0.41215,                0.47662,                0.83677,             0.00099036,             0.00099036,             0.00099036
                     44,                0.43379,                0.43274,                0.85021,                0.90232,                0.87986,                 0.9505,                0.88809,                0.39542,                0.47445,                0.84362,             0.00097386,             0.00097386,             0.00097386
                     45,                0.41571,                0.41616,                0.85231,                0.87664,                0.90219,                0.95586,                0.89342,                0.37747,                0.45383,                0.83959,             0.00095736,             0.00095736,             0.00095736
                     46,                0.41368,                0.42848,                0.84138,                0.86885,                0.84759,                0.92539,                0.86948,                0.37404,                 0.4947,                0.82542,             0.00094085,             0.00094085,             0.00094085
